OBJECTID,id,grid_4ha_id,lon,lat,lp_ext_2012,lp_ext_2015,lp_ext_2018,lp_ext_2022,du_cnt_2012,du_cnt_2015,du_cnt_2018,du_cnt_2022,clq_ext_sqm_2012,clq_ext_sqm_2015,clq_ext_sqm_2018,clq_ext_sqm_2022,mlt_ext_sqm_2012,mlt_ext_sqm_2015,mlt_ext_sqm_2018,mlt_ext_sqm_2022,sq_ext_sqm_2012,sq_ext_sqm_2015,sq_ext_sqm_2018,sq_ext_sqm_2022,du_cnt_w_clq_mlt_2012,du_cnt_w_clq_mlt_2015,du_cnt_w_clq_mlt_2018,du_cnt_w_clq_mlt_2022,dens_grs_duha_2012,dens_grs_duha_2015,dens_grs_duha_2018,dens_grs_duha_2022,d_dens_grs_duha_12_15,d_dens_grs_duha_12_18,d_dens_grs_duha_12_22,d_dens_grs_duha_15_18,d_dens_grs_duha_15_22,d_dens_grs_duha_18_22,DISTRICTNA,Shape_Length,Shape_Area
22691,7138,W36C_13_22691,18.58960609,-34.0321178,1757.993906,1757.993906,1757.993906,1757.993906,71,81,81,85,0,0,40,40,784,784,784,784,28,46,46,46,98.03448276,108.0344828,110.0344828,114.0344828,17,20,20,21,3,3,4,0,1,1,Khayelitsha/Mitchells Plain,799.9999883,39999.99883
22692,3589,W36C_13_22692,18.59177171,-34.03212501,502.1671183,502.1671183,502.1671183,502.1671183,85,87,90,96,60,158,158,158,0,0,0,0,94,82,82,103,88,94.9,97.9,103.9,21,21,22,24,0,1,3,1,3,2,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22693,3594,W36C_13_22693,18.59393733,-34.03213218,449.5160894,449.5160894,449.5160894,449.5160894,36,36,37,38,0,0,0,37,0,0,0,0,35,73,73,108,36,36,37,39.85,9,9,9,9,0,0,0,0,0,0,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22694,3595,W36C_13_22694,18.59610295,-34.03213932,506.3544503,506.3544503,506.3544503,506.3544503,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,1,1,1,1,0,0,0,0,0,0,Khayelitsha/Mitchells Plain,799.9999883,39999.99883
22695,3652,W36C_13_22695,18.59826857,-34.03214641,368.0620637,368.0620637,368.0620637,2462.398019,105,105,105,109,0,0,0,56,0,0,0,2087,0,0,0,0,105,105,105,183.7655172,26,26,26,27,0,0,1,0,1,1,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22696,3653,W36C_14_22696,18.60043419,-34.03215347,294.7602336,294.7602336,294.7602336,327.6633701,96,96,96,96,22,22,22,55,0,376,376,727,0,0,0,28,97.1,110.0655172,110.0655172,123.8189655,24,24,24,24,0,0,0,0,0,0,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22697,842,W36C_14_22697,18.60259982,-34.03216048,294.0861487,294.0861487,294.0861487,294.0861487,142,144,148,148,61,61,109,167,0,0,0,0,22,22,22,50,145.05,147.05,153.45,156.35,35,36,37,37,1,2,2,1,1,0,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22698,3736,W36C_14_22698,18.60476544,-34.03216746,243.7558872,243.7558872,243.7558872,243.7558872,77,77,77,77,27,27,0,37,0,0,0,0,81,81,81,113,78.35,78.35,77,78.85,19,19,19,19,0,0,0,0,0,0,Khayelitsha/Mitchells Plain,799.9999883,39999.99883
22699,3780,W36C_14_22699,18.60693106,-34.03217441,234.7143743,234.7143743,234.7143743,234.7143743,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,2,2,2,2,0,0,0,0,0,0,Khayelitsha/Mitchells Plain,800.0000185,40000.00185
22701,3830,W36C_15_22701,18.61126231,-34.03218817,230.2781431,230.2781431,230.2781431,230.2781431,111,111,112,113,0,0,0,23,0,0,0,0,22,22,22,22,111,111,112,114.15,27,27,28,28,0,1,1,1,1,0,Khayelitsha/Mitchells Plain,799.9999883,39999.99883
